Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Religion,M1J,  Baptist,"Religion, Protestant",  Baptist,,,,,820.0
Religion,M1J,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,1215.0
Religion,M1J,  Lutheran,"Religion, Protestant",  Lutheran,,,,,365.0
Religion,M1J,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,950.0
Religion,M1J,  Mennonite,"Religion, Protestant",  Mennonite,,,,,0.0
Religion,M1J,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,110.0
Religion,M1J,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,25.0
Religion,M1J,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,455.0
Religion,M1J,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,80.0
Religion,M1J,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,2200.0
Religion,M1J,Other Religions,Other Religions,,,,,,6460.0
Religion,M1J,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,2050.0
Religion,M1J,  Jewish,Other Religions,  Jewish,,,,,25.0
Religion,M1J,  Islam,Other Religions,  Islam,,,,,1595.0
Religion,M1J,  Buddhist,Other Religions,  Buddhist,,,,,290.0
Religion,M1J,  Hindu,Other Religions,  Hindu,,,,,2315.0
Religion,M1J,  Sikh,Other Religions,  Sikh,,,,,145.0
Religion,M1J,Other (other religions) (4),Other (other religions) (4),,,,,,35.0
Religion,M1J,No religious affiliation,No religious affiliation,,,,,,3490.0
Religion,M1K,"Religion, Catholic","Religion, Catholic",,,,,,13470.0
Religion,M1K,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,13410.0
Religion,M1K,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,60.0
Religion,M1K,"Religion, Protestant","Religion, Protestant",,,,,,15390.0
Religion,M1K,  United Church,"Religion, Protestant",  United Church,,,,,3625.0
Religion,M1K,  Anglican,"Religion, Protestant",  Anglican,,,,,3690.0
Religion,M1K,  Baptist,"Religion, Protestant",  Baptist,,,,,1065.0
Religion,M1K,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,1760.0
Religion,M1K,  Lutheran,"Religion, Protestant",  Lutheran,,,,,540.0
Religion,M1K,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,855.0
Religion,M1K,  Mennonite,"Religion, Protestant",  Mennonite,,,,,40.0
Religion,M1K,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,250.0
Religion,M1K,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,10.0
Religion,M1K,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,380.0
Religion,M1K,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,40.0
