Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
M1G,Total population by sex and age groups - 100% Data,"Male, total",35 to 39,,,,,1270
M1G,Total population by sex and age groups - 100% Data,"Male, total",40 to 44,,,,,1180
M1G,Total population by sex and age groups - 100% Data,"Male, total",45 to 49,,,,,965
M1G,Total population by sex and age groups - 100% Data,"Male, total",50 to 54,,,,,830
M1G,Total population by sex and age groups - 100% Data,"Male, total",55 to 59,,,,,675
M1G,Total population by sex and age groups - 100% Data,"Male, total",60 to 64,,,,,615
M1G,Total population by sex and age groups - 100% Data,"Male, total",65 to 69,,,,,605
M1G,Total population by sex and age groups - 100% Data,"Male, total",70 to 74,,,,,500
M1G,Total population by sex and age groups - 100% Data,"Male, total",75 to 79,,,,,290
M1G,Total population by sex and age groups - 100% Data,"Male, total",80 to 84,,,,,160
M1G,Total population by sex and age groups - 100% Data,"Male, total",85+,,,,,75
M1G,Total population by sex and age groups - 100% Data,"Female, total",,,,,,15665
M1G,Total population by sex and age groups - 100% Data,"Female, total",0 to 4,,,,,1175
M1G,Total population by sex and age groups - 100% Data,"Female, total",5 to 9,,,,,1165
M1G,Total population by sex and age groups - 100% Data,"Female, total",10 to 14,,,,,980
M1G,Total population by sex and age groups - 100% Data,"Female, total",15 to 19,,,,,925
M1G,Total population by sex and age groups - 100% Data,"Female, total",20 to 24,,,,,1060
M1G,Total population by sex and age groups - 100% Data,"Female, total",25 to 29,,,,,1120
M1G,Total population by sex and age groups - 100% Data,"Female, total",30 to 34,,,,,1245
M1G,Total population by sex and age groups - 100% Data,"Female, total",35 to 39,,,,,1320
M1G,Total population by sex and age groups - 100% Data,"Female, total",40 to 44,,,,,1135
M1G,Total population by sex and age groups - 100% Data,"Female, total",45 to 49,,,,,990
M1G,Total population by sex and age groups - 100% Data,"Female, total",50 to 54,,,,,905
M1G,Total population by sex and age groups - 100% Data,"Female, total",55 to 59,,,,,690
M1G,Total population by sex and age groups - 100% Data,"Female, total",60 to 64,,,,,755
M1G,Total population by sex and age groups - 100% Data,"Female, total",65 to 69,,,,,730
M1G,Total population by sex and age groups - 100% Data,"Female, total",70 to 74,,,,,595
M1G,Total population by sex and age groups - 100% Data,"Female, total",75 to 79,,,,,455
M1G,Total population by sex and age groups - 100% Data,"Female, total",80 to 84,,,,,230
M1G,Total population by sex and age groups - 100% Data,"Female, total",85+,,,,,165
M1H,"Population, 2001 - 100% Data",,,,,,,21229
M1H,Total population by sex and age groups - 100% Data,,,,,,,21230
M1H,Total population by sex and age groups - 100% Data,"Male, total",,,,,,10340
M1H,Total population by sex and age groups - 100% Data,"Male, total",0 to 4,,,,,710
M1H,Total population by sex and age groups - 100% Data,"Male, total",5 to 9,,,,,835
M1H,Total population by sex and age groups - 100% Data,"Male, total",10 to 14,,,,,675
M1H,Total population by sex and age groups - 100% Data,"Male, total",15 to 19,,,,,635
M1H,Total population by sex and age groups - 100% Data,"Male, total",20 to 24,,,,,680
M1H,Total population by sex and age groups - 100% Data,"Male, total",25 to 29,,,,,755
M1H,Total population by sex and age groups - 100% Data,"Male, total",30 to 34,,,,,955
M1H,Total population by sex and age groups - 100% Data,"Male, total",35 to 39,,,,,965
M1H,Total population by sex and age groups - 100% Data,"Male, total",40 to 44,,,,,845
M1H,Total population by sex and age groups - 100% Data,"Male, total",45 to 49,,,,,680
M1H,Total population by sex and age groups - 100% Data,"Male, total",50 to 54,,,,,515
M1H,Total population by sex and age groups - 100% Data,"Male, total",55 to 59,,,,,410
M1H,Total population by sex and age groups - 100% Data,"Male, total",60 to 64,,,,,405
M1H,Total population by sex and age groups - 100% Data,"Male, total",65 to 69,,,,,475
M1H,Total population by sex and age groups - 100% Data,"Male, total",70 to 74,,,,,395
M1H,Total population by sex and age groups - 100% Data,"Male, total",75 to 79,,,,,275
M1H,Total population by sex and age groups - 100% Data,"Male, total",80 to 84,,,,,90
M1H,Total population by sex and age groups - 100% Data,"Male, total",85+,,,,,55
M1H,Total population by sex and age groups - 100% Data,"Female, total",,,,,,10890
M1H,Total population by sex and age groups - 100% Data,"Female, total",0 to 4,,,,,635
M1H,Total population by sex and age groups - 100% Data,"Female, total",5 to 9,,,,,630
M1H,Total population by sex and age groups - 100% Data,"Female, total",10 to 14,,,,,600
M1H,Total population by sex and age groups - 100% Data,"Female, total",15 to 19,,,,,580
M1H,Total population by sex and age groups - 100% Data,"Female, total",20 to 24,,,,,715
M1H,Total population by sex and age groups - 100% Data,"Female, total",25 to 29,,,,,915
M1H,Total population by sex and age groups - 100% Data,"Female, total",30 to 34,,,,,1005
M1H,Total population by sex and age groups - 100% Data,"Female, total",35 to 39,,,,,965
M1H,Total population by sex and age groups - 100% Data,"Female, total",40 to 44,,,,,860
M1H,Total population by sex and age groups - 100% Data,"Female, total",45 to 49,,,,,715
M1H,Total population by sex and age groups - 100% Data,"Female, total",50 to 54,,,,,620
M1H,Total population by sex and age groups - 100% Data,"Female, total",55 to 59,,,,,490
M1H,Total population by sex and age groups - 100% Data,"Female, total",60 to 64,,,,,530
M1H,Total population by sex and age groups - 100% Data,"Female, total",65 to 69,,,,,565
M1H,Total population by sex and age groups - 100% Data,"Female, total",70 to 74,,,,,505
M1H,Total population by sex and age groups - 100% Data,"Female, total",75 to 79,,,,,270
M1H,Total population by sex and age groups - 100% Data,"Female, total",80 to 84,,,,,140
M1H,Total population by sex and age groups - 100% Data,"Female, total",85+,,,,,150
M1J,"Population, 2001 - 100% Data",,,,,,,36759
M1J,Total population by sex and age groups - 100% Data,,,,,,,36760
M1J,Total population by sex and age groups - 100% Data,"Male, total",,,,,,17785
M1J,Total population by sex and age groups - 100% Data,"Male, total",0 to 4,,,,,1490
M1J,Total population by sex and age groups - 100% Data,"Male, total",5 to 9,,,,,1600
M1J,Total population by sex and age groups - 100% Data,"Male, total",10 to 14,,,,,1335
M1J,Total population by sex and age groups - 100% Data,"Male, total",15 to 19,,,,,1350
M1J,Total population by sex and age groups - 100% Data,"Male, total",20 to 24,,,,,1185
M1J,Total population by sex and age groups - 100% Data,"Male, total",25 to 29,,,,,1170
M1J,Total population by sex and age groups - 100% Data,"Male, total",30 to 34,,,,,1380
M1J,Total population by sex and age groups - 100% Data,"Male, total",35 to 39,,,,,1570
M1J,Total population by sex and age groups - 100% Data,"Male, total",40 to 44,,,,,1500
M1J,Total population by sex and age groups - 100% Data,"Male, total",45 to 49,,,,,1255
M1J,Total population by sex and age groups - 100% Data,"Male, total",50 to 54,,,,,960
M1J,Total population by sex and age groups - 100% Data,"Male, total",55 to 59,,,,,715
M1J,Total population by sex and age groups - 100% Data,"Male, total",60 to 64,,,,,660
M1J,Total population by sex and age groups - 100% Data,"Male, total",65 to 69,,,,,585
