Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
M1L,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,365
M1L,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,3810
M1M,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,21665
M1M,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,19175
M1M,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,2495
M1M,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,1915
M1M,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,580
M1M,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,190
M1M,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,130
M1M,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,60
M1M,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,390
M1M,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,20655
M1M,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,12295
M1M,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,8365
M1M,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,6175
M1M,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,2195
M1M,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,955
M1M,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,730
M1M,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,220
M1M,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,1240
M1N,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,22175
M1N,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,19560
M1N,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,2620
M1N,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,2015
M1N,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,605
M1N,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,290
M1N,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,220
M1N,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,75
M1N,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,315
M1N,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,21220
M1N,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,12960
M1N,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,8265
M1N,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,6270
M1N,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,1990
M1N,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,1065
M1N,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,760
M1N,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,300
M1N,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,930
M1P,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,34680
M1P,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,29200
M1P,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,5485
M1P,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,3300
M1P,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,2185
M1P,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,710
M1P,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,590
M1P,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,120
M1P,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,1475
M1P,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,32785
M1P,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,17500
M1P,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,15290
M1P,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,9160
M1P,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,6130
